Nr circumscripție,Circumscripție,cod_judet,Nume Partid,Partid,gen,Pozitie Buletin,Membru alianta,Nume,Prenume,Funcție,Pozitie lista,x
4,BACAU,BC,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI,DREPT,M,22,,FILIP-KACENCO,ADRIAN,CD,6,BCDREPTFILIP-KACENCO
36,TELEORMAN,TR,PARTIDUL NAȚIONAL LIBERAL,PNL,M,1,,GHENE,ADRIAN,S,2,TRPNLGHENE
10,BUZAU,BZ,UNIUNEA SALVAȚI ROMÂNIA,USR,M,5,,GHEORGHE,ADRIAN,CD,3,BZUSRGHEORGHE
28,MURES,MS,UNIUNEA SALVAȚI ROMÂNIA,USR,M,3,,GIURGIU,ADRIAN,CD,1,MSUSRGIURGIU
14,CONSTANTA,CT,UNIUNEA SALVAȚI ROMÂNIA,USR,M,3,,GORCEA,ADRIAN,S,7,CTUSRGORCEA
22,HUNEDOARA,HD,PARTIDUL OAMENILOR TINERI,POT,M,16,,HÂRCEAGĂ,ADRIAN,CD,2,HDPOTHÂRCEAGĂ
42,Bucuresti,B,ROMÂNIA SOCIALISTĂ,PRS,M,18,PARTIDUL SOCIALIST ROMÂN,ION,ADRIAN,S,13,BPRSIONPARTIDUL SOCIALIST ROMÂN
10,BUZAU,BZ,FORȚA DREPTEI,FDREPTEI,M,3,,IONIȚĂ,ADRIAN,CD,6,BZFDREPTEIIONIȚĂ
17,DOLJ,DJ,ALIANȚA PENTRU UNIREA ROMÂNILOR,AUR,M,1,,IONIȚĂ,ADRIAN,CD,10,DJAURIONIȚĂ
7,BOTOSANI,BT,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ,ADN,M,9,,LEANCĂ,ADRIAN,CD,4,BTADNLEANCĂ
26,MARAMURES,MM,PARTIDUL NOUA ROMÂNIE,PNRO,M,19,,LUCA,ADRIAN,S,1,MMPNROLUCA
37,TIMIS,TM,ALIANȚA NAȚIONAL CREȘTINĂ,ANC,M,18,,MARIAN,ADRIAN,CD,1,TMANCMARIAN
27,MEHEDINTI,MH,PARTIDUL ROMÂNIA ÎN ACȚIUNE,ROACT,M,9,,MARIȘ,ADRIAN,S,4,MHROACTMARIȘ
32,SATU MARE,SM,PARTIDUL SOCIAL DEMOCRAT,PSD,M,2,,MICLE,ADRIAN,CD,2,SMPSDMICLE
43,Diaspora,diaspora,PARTIDUL S.O.S. ROMÂNIA,S.O.S. RO,M,10,,MIHĂILESCU,ADRIAN,CD,5,diasporaS.O.S. ROMIHĂILESCU
10,BUZAU,BZ,PARTIDUL NAȚIONAL LIBERAL,PNL,M,2,,MOCANU,ADRIAN,CD,1,BZPNLMOCANU
16,DAMBOVITA,DB,PARTIDUL NAȚIONAL LIBERAL,PNL,M,5,,MOCANU,ADRIAN,CD,3,DBPNLMOCANU
