Nr circumscripție,Circumscripție,cod_judet,Nume Partid,Partid,gen,Pozitie Buletin,Membru alianta,Nume,Prenume,Funcție,Pozitie lista,x
30,OLT,OT,PARTIDUL SOCIAL DEMOCRAT UNIT,PSDU,M,14,,FIERARU,ADRIAN-PETRIȘOR,CD,7,OTPSDUFIERARU
20,GORJ,GJ,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ,ADN,M,13,,GONCIULEA,ADRIAN-POMPILIU,CD,4,GJADNGONCIULEA
16,DAMBOVITA,DB,FORȚA DREPTEI,FDREPTEI,M,6,,VOINOIU,ADRIAN-ROBERT,CD,8,DBFDREPTEIVOINOIU
17,DOLJ,DJ,UNIUNEA SALVAȚI ROMÂNIA,USR,M,3,,DUDU,ADRIAN-ȘTEFAN,CD,12,DJUSRDUDU
19,GIURGIU,GR,PARTIDUL NAȚIONAL LIBERAL,PNL,M,2,,ANGHELESCU,ADRIAN-VALENTIN,S,2,GRPNLANGHELESCU
17,DOLJ,DJ,PARTIDUL NAȚIONAL LIBERAL,PNL,M,4,,BRĂȘFĂLEANU,ADRIAN-VALENTIN,CD,12,DJPNLBRĂȘFĂLEANU
31,PRAHOVA,PH,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ,ADN,M,7,,OPRESCU,ADRIAN-VALENTIN,CD,2,PHADNOPRESCU
31,PRAHOVA,PH,FORȚA DREPTEI,FDREPTEI,M,6,,PRIOROCU,ADRIAN-VALENTIN,CD,13,PHFDREPTEIPRIOROCU
41,VRANCEA,VN,PARTIDUL NAȚIONAL LIBERAL,PNL,M,3,,CREȚU,ADRIAN-VASILE,CD,2,VNPNLCREȚU
37,TIMIS,TM,ALIANȚA PENTRU UNIREA ROMÂNILOR,AUR,M,1,,IACOB,ADRIAN-VASILE,CD,4,TMAURIACOB
12,CALARASI,CL,PARTIDUL ROMÂNIA ÎN ACȚIUNE,ROACT,M,7,,PÎRVU,ADRIAN-VASILE,CD,3,CLROACTPÎRVU
26,MARAMURES,MM,PARTIDUL SOCIAL DEMOCRAT,PSD,M,2,,VLAD,ADRIAN-VASILE,CD,5,MMPSDVLAD
29,NEAMT,NT,PARTIDUL NAȚIONAL LIBERAL,PNL,M,4,,CIOBANU,ADRIAN-VIRGIL,CD,1,NTPNLCIOBANU
31,PRAHOVA,PH,ROMÂNIA SOCIALISTĂ,PRS,M,20,PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR,IONESCU,ADRIAN-VIRGIL,CD,1,PHPRSIONESCUPARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR
42,Bucuresti,B,ALIANȚA PENTRU UNIREA ROMÂNILOR,AUR,M,2,,CHIOTAN,ADRIAN-VLAD,CD,11,BAURCHIOTAN
25,ILFOV,IF,ROMÂNIA SOCIALISTĂ,PRS,M,18,PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR,POLIFRON,ADRIAN-XENON,CD,6,IFPRSPOLIFRONPARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR
22,HUNEDOARA,HD,PARTIDUL NAȚIONAL LIBERAL,PNL,F,6,,ALMĂȘAN,ADRIANA,CD,8,HDPNLALMĂȘAN
14,CONSTANTA,CT,PARTIDUL NAȚIONAL LIBERAL,PNL,F,5,,ARGHIRESCU,ADRIANA,CD,4,CTPNLARGHIRESCU
39,VASLUI,VS,PARTIDUL SOCIAL DEMOCRAT UNIT,PSDU,F,11,,BALAN,ADRIANA,CD,1,VSPSDUBALAN
42,Bucuresti,B,PARTIDUL SOCIAL DEMOCRAT UNIT,PSDU,F,9,,CIOBANU,ADRIANA,S,8,BPSDUCIOBANU
8,BRASOV,BV,PARTIDUL S.O.S. ROMÂNIA,S.O.S. RO,F,12,,GHIȚĂ,ADRIANA,CD,7,BVS.O.S. ROGHIȚĂ
42,Bucuresti,B,PATRIOȚII POPORULUI ROMÂN,PPR,F,10,,JARCĂU,ADRIANA,CD,4,BPPRJARCĂU
37,TIMIS,TM,PARTIDUL SOCIAL DEMOCRAT UNIT,PSDU,F,9,,LAZĂR,ADRIANA,CD,5,TMPSDULAZĂR
9,BRAILA,BR,PARTIDUL S.O.S. ROMÂNIA,S.O.S. RO,F,16,,NAZÎRU,ADRIANA,S,4,BRS.O.S. RONAZÎRU
3,ARGES,AG,PARTIDUL UNIUNEA GETO-DACILOR,P-UGDT,F,7,,NEACȘU,ADRIANA,CD,4,AGP-UGDTNEACȘU
38,TULCEA,TL,ALIANȚA NAȚIONAL CREȘTINĂ,ANC,F,17,,PĂTRAȘCU,ADRIANA,CD,2,TLANCPĂTRAȘCU
33,SALAJ,SJ,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI,REPER,F,12,,POP,ADRIANA,CD,2,SJREPERPOP
42,Bucuresti,B,PARTIDUL S.O.S. ROMÂNIA,S.O.S. RO,F,7,,RUȘĂȚEANU,ADRIANA,CD,16,BS.O.S. RORUȘĂȚEANU
